s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 89656.8036175, 43128.8719252, 2.9152365, -0.0331650, 9.8081139, -5.1910739
0.9990456, 89656.5447252, 43127.8654497, 2.8555632, -0.0840208, 9.2642786, -1.1713363
1.9980913, 89656.2222262, 43126.9414337, 2.7477056, -0.1343932, 9.1370904, -0.3877113
2.9971369, 89655.7869433, 43126.0722224, 2.6050120, -0.1450822, 9.0945994, -0.3877113
3.9961826, 89655.2183893, 43125.2522853, 2.4677188, -0.1322576, 9.0519090, 0.7791217
4.9952282, 89654.5412363, 43124.5104996, 2.3356223, -0.1327737, 9.1374949, 0.5228389
5.9942738, 89653.7616370, 43123.8558479, 2.2068816, -0.1132750, 9.1944816, 2.0276300
6.9933195, 89652.9254896, 43123.3034467, 2.1068061, -0.0866797, 9.4122198, 3.9057897
7.9923651, 89652.0704164, 43122.8387523, 2.0339188, -0.0668978, 9.8180449, 4.8481531
8.9914108, 89651.1857065, 43122.4303826, 1.9753492, -0.0500146, 10.2995660, 4.8027450
9.9904564, 89650.2461430, 43122.0508509, 1.9387808, -0.0223470, 10.7553420, 4.7577623
10.9895020, 89649.3482264, 43121.7167936, 1.9107124, -0.0440470, 11.1885578, -3.7026709
11.9885477, 89648.3998121, 43121.4093989, 1.8534624, -0.0699064, 10.8529052, -1.8281422
12.9875933, 89647.3818476, 43121.1583971, 1.7674554, -0.0938105, 10.6832933, -1.7710401
13.9866389, 89646.3952112, 43121.0098990, 1.6731399, -0.0942791, 10.5163708, -1.8122499
14.9856846, 89645.3923377, 43120.9553454, 1.5761949, -0.0999241, 10.3427760, -0.4967831
15.9847302, 89644.3919496, 43121.0019396, 1.4700951, -0.1132285, 10.2946781, -0.4967831
16.9837759, 89643.4009995, 43121.1607165, 1.3543807, -0.1116379, 10.2463544, -0.2127418
17.9828215, 89642.4395519, 43121.4270293, 1.2488365, -0.0993093, 10.2255905, 1.1258149
18.9818671, 89641.5121491, 43121.7856791, 1.1571288, -0.0849059, 10.3349979, 2.4303287
19.9809128, 89640.6046079, 43122.2283236, 1.0799549, -0.0671144, 10.5673176, 3.9820148
20.9799584, 89639.7276184, 43122.7326502, 1.0206592, -0.0505460, 10.9373045, 4.7392595
21.9790041, 89638.8966940, 43123.2684182, 0.9779261, -0.0359771, 11.3619586, 4.6948714
22.9780497, 89638.0666938, 43123.8471802, 0.9473449, -0.0263725, 11.7675352, 4.6508990
23.9770953, 89637.2578933, 43124.4434428, 0.9253119, -0.0167940, 12.1559782, 4.6073384
24.9761410, 89636.4863887, 43125.0320039, 0.9149638, -0.0040672, 12.5289141, 4.5641858
25.9751866, 89635.7179915, 43125.6243425, 0.9137972, 0.0006103, 12.8877208, 4.5214374
26.9742323, 89634.9328717, 43126.2288472, 0.9160060, 0.0036702, 13.2335782, 4.4790894
27.9732779, 89634.1249499, 43126.8463339, 0.9203986, 0.0017992, 13.5675061, 4.4371380
