x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89628.8556,43132.3506,0.0,0.0,0.0,0.8968051081768097,0.4424258106711006,8.333333
89628.2261,43133.1715,0.0,0.0,0.0,0.8911616995725647,0.4536858221445076,8.333333
89627.6174,43134.0081,0.0,0.0,0.0,0.8873867755455415,0.4610257157544326,8.333333
89626.9624,43134.9403,0.0,0.0,0.0,0.8852557538821615,0.4651045583721213,8.333333
89626.3160,43135.8785,0.0,0.0,0.0,0.8846771977574196,0.4662040923973958,8.333333
89625.5947,43136.9310,0.0,0.0,0.0,0.8851378038586949,0.465328989189591,8.333333
89624.8713,43137.9821,0.0,0.0,0.0,0.8863557423459002,0.4630048574372068,8.333333
89624.0723,43139.1301,0.0,0.0,0.0,0.8879800580588715,0.45988195930017,8.333333
89623.2652,43140.2725,0.0,0.0,0.0,0.8897638351642996,0.4564212063803753,8.333333
89622.4049,43141.4703,0.0,0.0,0.0,0.8914201516026915,0.453177794377256,8.333333
89621.5359,43142.6618,0.0,0.0,0.0,0.8927665713975266,0.4505195323125348,8.333333
89620.6463,43143.8664,0.0,0.0,0.0,0.8933884612424686,0.4492850512968511,8.333333
89619.7534,43145.0685,0.0,0.0,0.0,0.8930868480992845,0.449884298183528,8.333333
89618.8690,43146.2625,0.0,0.0,0.0,0.8913360087715114,0.4533432689113979,8.333333
89617.9939,43147.4633,0.0,0.0,0.0,0.8877918594851294,0.4602451675269783,8.333333
89617.1480,43148.6627,0.0,0.0,0.0,0.8816745987692411,0.4718579255296,8.333333
89616.3338,43149.8840,0.0,0.0,0.0,0.872465919445655,0.4886749629414708,8.333333
89615.5704,43151.1301,0.0,0.0,0.0,0.8592318340345289,0.511586410473988,8.333333
89614.8740,43152.4148,0.0,0.0,0.0,0.8412578769047002,0.54063405788555,8.333333
89614.2643,43153.7498,0.0,0.0,0.0,0.8177072733204829,0.5756342720502151,8.333333
89613.7694,43155.1311,0.0,0.0,0.0,0.7879064488952557,0.6157949559628333,8.333333
89613.4135,43156.5606,0.0,0.0,0.0,0.7517045021847463,0.6595000692912646,8.333333
89613.2217,43158.0221,0.0,0.0,0.0,0.7082255776400038,0.7059862117467188,8.333333
89613.2171,43159.4746,0.0,0.0,0.0,0.6539525268552792,0.7565355858250129,8.333333
89613.4270,43160.9100,0.0,0.0,0.0,0.5872804704230765,0.8093834993744622,8.333333
89613.8507,43162.2085,0.0,0.0,0.0,0.5049093535108866,0.8631723725520984,8.333333
