idx,lo,hi,radius,pass_ok
0,-3.200,1.600,31.51,1
1,-3.300,1.400,41.96,1
2,-3.300,1.350,64.50,1
3,-3.400,1.350,124.89,1
4,-3.450,1.250,396.08,1
5,-3.500,1.200,716.90,1
6,-3.550,1.150,274.13,1
7,-3.650,1.167,204.88,1
8,-3.700,1.050,192.22,1
9,-3.800,1.000,207.64,1
10,-3.850,0.850,295.09,1
11,-4.000,0.650,1483.83,1
12,-4.000,0.661,373.86,1
13,-4.200,0.500,148.92,1
14,-4.250,0.500,82.77,1
15,-4.350,0.400,53.52,1
16,-4.350,0.403,39.08,1
17,-4.200,0.350,31.52,1
18,-4.100,0.550,26.78,1
19,-3.900,0.750,22.54,1
20,-3.600,1.000,18.32,1
21,-3.150,1.450,14.66,1
22,-2.690,2.117,11.79,1
23,-2.248,2.892,9.59,1
24,-1.478,3.365,7.89,1
25,-1.150,3.776,6.59,1
26,-0.900,3.913,5.63,0
27,-1.000,4.128,5.06,0
28,-1.200,3.973,4.97,0
29,-1.320,3.777,5.45,0
30,-1.490,3.399,6.48,0
31,-1.900,3.175,7.96,0
32,-2.500,2.700,9.76,0
33,-3.000,2.100,11.89,0
34,-3.350,1.550,14.23,0
35,-3.550,1.350,16.33,0
36,-3.700,1.100,17.88,0
37,-3.750,1.150,19.41,0
38,-3.750,1.200,22.01,1
39,-3.650,1.350,27.06,1
40,-3.350,1.600,36.99,1
41,-3.050,1.700,58.58,1
42,-2.600,2.000,124.46,1
43,-2.250,2.200,642.90,1
44,-1.900,2.500,82.69,0
45,-1.650,2.700,47.95,0
46,-1.350,2.800,36.41,0
47,-1.200,2.900,30.04,0
48,-0.900,3.000,25.95,0
49,-0.800,3.000,22.96,0
50,-0.818,2.950,20.76,0
51,-0.918,2.750,18.99,0
52,-1.100,2.411,17.04,0
53,-1.350,2.284,14.70,0
54,-1.900,1.871,12.33,0
55,-2.559,1.384,10.22,0
56,-3.344,0.797,7.51,0
57,-3.872,0.600,5.06,0
58,-4.078,0.500,3.98,0
59,-4.187,0.500,4.08,0
60,-4.187,0.550,4.76,0
61,-4.139,0.500,5.53,0
62,-3.840,0.550,6.42,0
63,-3.477,0.940,7.45,0
64,-2.699,1.260,8.52,0
65,-1.971,1.930,9.74,0
66,-1.200,2.500,11.22,0
67,-0.800,2.850,13.36,0
68,-0.600,3.200,16.37,0
69,-0.400,3.400,20.52,0
70,-0.300,3.500,25.93,0
71,-0.255,3.550,32.38,0
72,-0.300,3.450,39.73,0
73,-0.500,3.350,48.66,0
74,-0.600,3.100,62.40,0
75,-0.850,2.900,91.93,0
76,-1.050,2.700,187.44,0
77,-1.250,2.400,4626.54,0
78,-1.450,2.200,198.27,0
79,-1.650,2.000,115.50,0
80,-1.900,1.750,94.09,0
81,-2.150,1.650,92.28,0
82,-2.250,1.500,104.80,0
83,-2.350,1.350,146.08,0
84,-2.450,1.200,478.15,0
85,-2.500,1.100,204.41,0
86,-2.432,0.850,89.14,0
87,-2.639,0.700,65.59,0
88,-2.850,0.688,43.20,0
89,-3.137,0.538,26.40,0
90,-3.246,0.534,24.42,0
91,-2.026,0.794,66.33,0
92,-1.198,1.628,28.09,0
93,-0.848,2.540,10.50,0
94,-0.600,3.695,6.74,0
95,-0.200,4.308,5.67,0
96,-0.350,4.618,5.40,0
97,-0.350,5.063,5.52,0
98,-0.550,5.137,5.98,0
99,-0.850,4.834,6.87,0
100,-1.220,4.170,7.86,0
101,-1.515,3.700,8.40,0
102,-1.250,3.608,8.40,0
103,-1.115,3.914,8.18,0
104,-0.715,4.390,8.08,0
105,-0.595,4.537,8.46,0
106,-0.649,4.070,9.52,0
107,-1.019,3.544,11.87,0
108,-1.766,3.027,16.63,0
109,-2.600,2.300,27.82,0
110,-3.462,1.500,91.35,0
111,-4.156,0.934,62.42,0
112,-4.323,0.514,19.52,0
113,-4.115,0.444,10.62,0
114,-3.631,0.700,7.48,0
115,-3.213,0.950,6.69,0
116,-3.000,0.998,6.97,0
117,-3.069,1.070,8.39,0
118,-3.056,1.090,11.64,0
119,-3.051,1.265,19.00,0
120,-3.155,1.400,45.80,0
121,-3.104,1.450,141.09,0
122,-2.987,1.450,30.93,0
123,-2.900,1.600,18.34,0
124,-2.700,1.950,13.66,0
125,-2.350,2.250,11.14,0
126,-1.940,2.950,9.40,0
127,-1.520,4.050,8.00,0
128,-1.200,5.114,6.82,0
129,-0.900,5.114,5.85,0
130,-0.750,4.969,5.18,0
131,-0.700,4.500,4.84,0
132,-0.750,4.200,4.72,0
133,-0.650,4.665,4.78,0
134,-0.850,5.130,4.97,0
135,-1.000,4.930,5.21,0
136,-1.336,3.777,5.57,0
137,-1.556,2.800,6.19,0
138,-1.781,2.600,7.24,0
139,-1.650,2.750,9.17,0
140,-1.662,2.862,12.81,0
141,-1.419,3.194,21.45,0
142,-1.148,3.194,60.56,0
143,-0.889,3.100,78.14,0
144,-0.835,3.050,24.10,0
145,-0.784,2.900,14.31,0
146,-1.400,2.634,10.22,0
147,-2.250,2.064,8.07,0
148,-3.333,1.594,6.63,0
149,-3.860,1.150,5.61,0
150,-4.180,0.850,4.99,0
151,-4.329,0.500,4.75,0
152,-4.431,0.400,4.99,0
153,-4.505,0.450,6.14,0
154,-4.078,0.520,7.49,0
155,-3.350,1.240,9.47,0
156,-2.900,1.550,14.88,0
157,-2.750,1.800,17.91,0
158,-2.650,1.900,14.63,0
159,-2.832,1.894,12.51,0
160,-3.116,1.600,10.28,0
161,-3.733,1.204,8.20,0
162,-4.104,0.919,6.37,0
163,-4.165,0.749,4.94,0
164,-4.428,0.550,4.37,0
165,-4.516,0.400,5.25,0
166,-4.478,0.400,10.32,0
167,-4.330,0.950,256.84,0
168,-3.808,1.970,18.11,0
169,-2.790,3.940,11.57,0
170,-1.942,3.200,9.34,0
171,-1.350,2.800,8.01,0
172,-1.100,2.700,7.29,0
173,-1.050,2.974,7.06,0
174,-1.300,3.153,7.22,0
175,-1.600,2.957,7.68,0
176,-2.387,2.545,8.34,0
177,-2.985,1.815,9.11,0
178,-3.536,1.050,9.93,0
179,-3.778,0.650,10.78,0
180,-3.868,0.350,11.48,0
181,-3.900,0.350,11.86,0
182,-3.750,0.645,12.04,0
183,-3.550,1.075,12.24,0
184,-3.300,2.150,12.46,0
185,-2.700,2.901,12.75,0
186,-1.882,2.850,13.16,0
187,-1.062,2.750,13.69,0
188,-0.742,2.800,14.51,0
